Ticker,Code,Name
FOXA,GOOG/NASDAQ_FOXA,21st Century Fox Class A
ATVI,GOOG/NASDAQ_ATVI,Activision Blizzard Inc
ADBE,GOOG/NASDAQ_ADBE,Adobe Systems Inc
AKAM,GOOG/NASDAQ_AKAM,Akamai Technologies Inc
ALXN,GOOG/NASDAQ_ALXN,Alexion Pharmaceuticals Inc
ALTR,GOOG/NASDAQ_ALTR,Altera Corp
AMZN,GOOG/NASDAQ_AMZN,Amazon.com Inc
AMGN,GOOG/NASDAQ_AMGN,Amgen Inc
ADI,GOOG/NASDAQ_ADI,Analog Devices Inc
AAPL,GOOG/NASDAQ_AAPL,Apple Inc
AMAT,GOOG/NASDAQ_AMAT,Applied Materials Inc
ADSK,GOOG/NASDAQ_ADSK,Autodesk Inc
ADP,GOOG/NASDAQ_ADP,Automatic Data Processing Inc
AVGO,GOOG/NASDAQ_AVGO,Avago Technologies Ltd
BIDU,GOOG/NASDAQ_BIDU,Baidu Inc
BBBY,GOOG/NASDAQ_BBBY,Bed Bath & Beyond Inc
BIIB,GOOG/NASDAQ_BIIB,Biogen Idec Inc
BRCM,GOOG/NASDAQ_BRCM,Broadcom Corp
CHRW,GOOG/NASDAQ_CHRW,C.H. Robinson Worldwide Inc
CA,GOOG/NASDAQ_CA,CA Inc
CELG,GOOG/NASDAQ_CELG,Celgene Corp
CERN,GOOG/NASDAQ_CERN,Cerner Corp
CHTR,GOOG/NASDAQ_CHTR,Charter Communications Inc
CHKP,GOOG/NASDAQ_CHKP,Check Point Software Technologies Ltd
CSCO,GOOG/NASDAQ_CSCO,Cisco Systems Inc
CTXS,GOOG/NASDAQ_CTXS,Citrix Systems Inc
CTSH,GOOG/NASDAQ_CTSH,Cognizant Technology Solutions Corp
CMCSA,GOOG/NASDAQ_CMCSA,Comcast Corp
COST,GOOG/NASDAQ_COST,Costco Wholesale Corp
DTV,GOOG/NASDAQ_DTV,DIRECTV
DISH,GOOG/NASDAQ_DISH,Dish Network Corp
DLTR,GOOG/NASDAQ_DLTR,Dollar Tree Inc
EBAY,GOOG/NASDAQ_EBAY,eBay Inc
EQIX,GOOG/NASDAQ_EQIX,Equinix Inc
EXPE,GOOG/NASDAQ_EXPE,Expedia Inc
EXPD,GOOG/NASDAQ_EXPD,Expeditors International of Washington Inc
ESRX,GOOG/NASDAQ_ESRX,Express Scripts Holding Co
FFIV,GOOG/NASDAQ_FFIV,F5 Networks Inc
FB,GOOG/NASDAQ_FB,Facebook
FAST,GOOG/NASDAQ_FAST,Fastenal Co
FISV,GOOG/NASDAQ_FISV,Fiserv Inc
GRMN,GOOG/NASDAQ_GRMN,Garmin Ltd
GILD,GOOG/NASDAQ_GILD,Gilead Sciences Inc
GOOGL,GOOG/NASDAQ_GOOGL,Google Inc CL A Cmn
