Ticker,Code,Name
MMM,GOOG/NYSE_MMM,3M Co.
ABT,GOOG/NYSE_ABT,Abbott Laboratories
ACN,GOOG/NYSE_ACN,Accenture PLC Cl A
AGN,GOOG/NYSE_AGN,Allergan Inc.
MO,GOOG/NYSE_MO,Altria Group Inc.
AXP,GOOG/NYSE_AXP,American Express Co.
AIG,GOOG/NYSE_AIG,American International Group Inc.
APC,GOOG/NYSE_APC,Anadarko Petroleum Corp.
APA,GOOG/NYSE_APA,Apache Corp.
T,GOOG/NYSE_T,AT&T Inc.
BHI,GOOG/NYSE_BHI,Baker Hughes Inc.
BAC,GOOG/NYSE_BAC,Bank of America Corp.
BK,GOOG/NYSE_BK,Bank of New York Mellon Corp.
BAX,GOOG/NYSE_BAX,Baxter International Inc.
BA,GOOG/NYSE_BA,Boeing Co.
BMY,GOOG/NYSE_BMY,Bristol-Myers Squibb Co.
CAT,GOOG/NYSE_CAT,Caterpillar Inc.
CVX,GOOG/NYSE_CVX,Chevron Corp.
C,GOOG/NYSE_C,Citigroup Inc.
KO,GOOG/NYSE_KO,Coca-Cola Co.
CL,GOOG/NYSE_CL,Colgate-Palmolive Co.
COP,GOOG/NYSE_COP,ConocoPhillips
GLW,GOOG/NYSE_GLW,Corning Inc.
COV,GOOG/NYSE_COV,Covidien PLC
CVS,GOOG/NYSE_CVS,CVS Caremark Corp.
DHR,GOOG/NYSE_DHR,Danaher Corp.
DE,GOOG/NYSE_DE,Deere & Co.
DVN,GOOG/NYSE_DVN,Devon Energy Corp.
D,GOOG/NYSE_D,Dominion Resources Inc. (Virginia)
DOW,GOOG/NYSE_DOW,Dow Chemical Co.
DUK,GOOG/NYSE_DUK,Duke Energy Corp.
DD,GOOG/NYSE_DD,E.I. DuPont de Nemours & Co.
LLY,GOOG/NYSE_LLY,Eli Lilly & Co.
EMC,GOOG/NYSE_EMC,EMC Corp.
EMR,GOOG/NYSE_EMR,Emerson Electric Co.
EOG,GOOG/NYSE_EOG,EOG Resources Inc.
EXC,GOOG/NYSE_EXC,Exelon Corp.
XOM,GOOG/NYSE_XOM,Exxon Mobil Corp.
FDX,GOOG/NYSE_FDX,FedEx Corp.
F,GOOG/NYSE_F,Ford Motor Co.
BEN,GOOG/NYSE_BEN,Franklin Resources Inc.
FCX,GOOG/NYSE_FCX,Freeport-McMoRan Copper & Gold Inc.
GD,GOOG/NYSE_GD,General Dynamics Corp.
GE,GOOG/NYSE_GE,General Electric Co.
GIS,GOOG/NYSE_GIS,General Mills Inc.
GM,GOOG/NYSE_GM,General Motors Co.
GS,GOOG/NYSE_GS,Goldman Sachs Group Inc.
HAL,GOOG/NYSE_HAL,Halliburton Co.
HPQ,GOOG/NYSE_HPQ,Hewlett-Packard Co.
HD,GOOG/NYSE_HD,Home Depot Inc.
HON,GOOG/NYSE_HON,Honeywell International Inc.
ITW,GOOG/NYSE_ITW,Illinois Tool Works Inc.
IBM,GOOG/NYSE_IBM,International Business Machines Corp.
JNJ,GOOG/NYSE_JNJ,Johnson & Johnson
JPM,GOOG/NYSE_JPM,JPMorgan Chase & Co.
KMB,GOOG/NYSE_KMB,Kimberly-Clark Corp.
LVS,GOOG/NYSE_LVS,Las Vegas Sands Corp.
LMT,GOOG/NYSE_LMT,Lockheed Martin Corp.
LOW,GOOG/NYSE_LOW,Lowe's Cos.
MA,GOOG/NYSE_MA,MasterCard Inc. Cl A
MCD,GOOG/NYSE_MCD,McDonald's Corp.
MDT,GOOG/NYSE_MDT,Medtronic Inc.
MRK,GOOG/NYSE_MRK,Merck & Co. Inc.
MET,GOOG/NYSE_MET,MetLife Inc.
MON,GOOG/NYSE_MON,Monsanto Co.
MS,GOOG/NYSE_MS,Morgan Stanley
NOV,GOOG/NYSE_NOV,National Oilwell Varco Inc.
NEM,GOOG/NYSE_NEM,Newmont Mining Corp.
NKE,GOOG/NYSE_NKE,Nike Inc. Cl B
OXY,GOOG/NYSE_OXY,Occidental Petroleum Corp.
PEP,GOOG/NYSE_PEP,PepsiCo Inc.
PFE,GOOG/NYSE_PFE,Pfizer Inc.
PM,GOOG/NYSE_PM,Philip Morris International Inc.
PNC,GOOG/NYSE_PNC,PNC Financial Services Group Inc.
PX,GOOG/NYSE_PX,Praxair Inc.
PG,GOOG/NYSE_PG,Procter & Gamble Co.
PRU,GOOG/NYSE_PRU,Prudential Financial Inc.
SLB,GOOG/NYSE_SLB,Schlumberger Ltd.
SPG,GOOG/NYSE_SPG,Simon Property Group Inc.
SO,GOOG/NYSE_SO,Southern Co.
SCCO,GOOG/NYSE_SCCO,Southern Copper Corp.
TGT,GOOG/NYSE_TGT,Target Corp.
TWX,GOOG/NYSE_TWX,Time Warner Inc.
TRV,GOOG/NYSE_TRV,Travelers Cos. Inc.
USB,GOOG/NYSE_USB,U.S. Bancorp
UNP,GOOG/NYSE_UNP,Union Pacific Corp.
UPS,GOOG/NYSE_UPS,United Parcel Service Inc. Cl B
UTX,GOOG/NYSE_UTX,United Technologies Corp.
UNH,GOOG/NYSE_UNH,UnitedHealth Group Inc.
VZ,GOOG/NYSE_VZ,Verizon Communications Inc.
V,GOOG/NYSE_V,VISA Inc. Cl A
WMT,GOOG/NYSE_WMT,Wal-Mart Stores Inc.
DIS,GOOG/NYSE_DIS,Walt Disney Co.
WFC,GOOG/NYSE_WFC,Wells Fargo & Co.
YUM,GOOG/NYSE_YUM,Yum! Brands Inc.
